Region,Date,Confirmed,Recovered/Migrated,Deceased
Kerala,30012020,1.0,0.0,0.0
National Total,30012020,1.0,0.0,0.0
Kerala,02022020,2.0,0.0,0.0
National Total,02022020,2.0,0.0,0.0
Kerala,03022020,3.0,0.0,0.0
National Total,03022020,3.0,0.0,0.0
Kerala,14022020,3.0,3.0,0.0
National Total,14022020,3.0,3.0,0.0
Delhi,02032020,1.0,0.0,0.0
Kerala,02032020,3.0,3.0,0.0
Telangana,02032020,1.0,1.0,0.0
National Total,02032020,5.0,4.0,0.0
Delhi,03032020,1.0,0.0,0.0
Kerala,03032020,3.0,3.0,0.0
Rajasthan,03032020,1.0,1.0,0.0
Telangana,03032020,1.0,1.0,0.0
National Total,03032020,6.0,5.0,0.0
Delhi,04032020,1.0,0.0,0.0
Haryana,04032020,14.0,0.0,0.0
Kerala,04032020,3.0,3.0,0.0
Rajasthan,04032020,2.0,2.0,0.0
Telangana,04032020,1.0,1.0,0.0
Uttar Pradesh,04032020,7.0,0.0,0.0
National Total,04032020,28.0,6.0,0.0
Delhi,05032020,2.0,0.0,0.0
Haryana,05032020,14.0,0.0,0.0
Kerala,05032020,3.0,3.0,0.0
Rajasthan,05032020,2.0,2.0,0.0
Telangana,05032020,1.0,1.0,0.0
Uttar Pradesh,05032020,8.0,1.0,0.0
National Total,05032020,30.0,7.0,0.0
Delhi,06032020,3.0,0.0,0.0
Haryana,06032020,14.0,0.0,0.0
Kerala,06032020,3.0,3.0,0.0
Rajasthan,06032020,2.0,2.0,0.0
Telangana,06032020,1.0,1.0,0.0
Uttar Pradesh,06032020,8.0,1.0,0.0
National Total,06032020,31.0,7.0,0.0
Delhi,07032020,3.0,0.0,0.0
Haryana,07032020,14.0,0.0,0.0
Kerala,07032020,3.0,3.0,0.0
Ladakh,07032020,2.0,0.0,0.0
Rajasthan,07032020,2.0,2.0,0.0
Tamil Nadu,07032020,1.0,1.0,0.0
Telangana,07032020,1.0,1.0,0.0
Uttar Pradesh,07032020,8.0,1.0,0.0
National Total,07032020,34.0,8.0,0.0
Delhi,08032020,3.0,0.0,0.0
Haryana,08032020,14.0,0.0,0.0
Kerala,08032020,8.0,3.0,0.0
Ladakh,08032020,2.0,0.0,0.0
Rajasthan,08032020,2.0,2.0,0.0
Tamil Nadu,08032020,1.0,1.0,0.0
Telangana,08032020,1.0,1.0,0.0
Uttar Pradesh,08032020,8.0,1.0,0.0
National Total,08032020,39.0,8.0,0.0
Delhi,09032020,4.0,0.0,0.0
Haryana,09032020,14.0,0.0,0.0
Jammu and Kashmir,09032020,1.0,0.0,0.0
Karnataka,09032020,1.0,0.0,0.0
Kerala,09032020,9.0,4.0,0.0
Ladakh,09032020,2.0,0.0,0.0
Maharashtra,09032020,2.0,0.0,0.0
Punjab,09032020,1.0,0.0,0.0
Rajasthan,09032020,2.0,2.0,0.0
Tamil Nadu,09032020,1.0,1.0,0.0
Telangana,09032020,1.0,1.0,0.0
Uttar Pradesh,09032020,10.0,2.0,0.0
National Total,09032020,48.0,10.0,0.0
Delhi,10032020,4.0,0.0,0.0
Haryana,10032020,14.0,0.0,0.0
Jammu and Kashmir,10032020,1.0,0.0,0.0
Karnataka,10032020,4.0,0.0,0.0
Kerala,10032020,17.0,6.0,0.0
Ladakh,10032020,2.0,0.0,0.0
Maharashtra,10032020,5.0,0.0,0.0
Punjab,10032020,1.0,0.0,0.0
Rajasthan,10032020,3.0,3.0,0.0
Tamil Nadu,10032020,1.0,1.0,0.0
Telangana,10032020,1.0,1.0,0.0
Uttar Pradesh,10032020,10.0,2.0,0.0
National Total,10032020,63.0,13.0,0.0
Delhi,11032020,5.0,0.0,0.0
Haryana,11032020,14.0,0.0,0.0
Jammu and Kashmir,11032020,1.0,0.0,0.0
Karnataka,11032020,4.0,0.0,0.0
Kerala,11032020,17.0,6.0,0.0
Ladakh,11032020,3.0,0.0,0.0
Maharashtra,11032020,10.0,0.0,0.0
Punjab,11032020,1.0,0.0,0.0
Rajasthan,11032020,3.0,3.0,0.0
Tamil Nadu,11032020,1.0,1.0,0.0
Telangana,11032020,1.0,1.0,0.0
Uttar Pradesh,11032020,10.0,2.0,0.0
National Total,11032020,70.0,13.0,0.0
Andhra Pradesh,12032020,1.0,0.0,0.0
Delhi,12032020,6.0,0.0,1.0
Haryana,12032020,14.0,0.0,0.0
Jammu and Kashmir,12032020,1.0,0.0,0.0
Karnataka,12032020,6.0,0.0,1.0
Kerala,12032020,19.0,6.0,0.0
Ladakh,12032020,3.0,0.0,0.0
Maharashtra,12032020,14.0,0.0,1.0
Punjab,12032020,1.0,0.0,0.0
Rajasthan,12032020,3.0,3.0,0.0
Tamil Nadu,12032020,1.0,1.0,0.0
Telangana,12032020,1.0,1.0,0.0
Uttar Pradesh,12032020,12.0,2.0,0.0
National Total,12032020,82.0,13.0,3.0
Andhra Pradesh,13032020,1.0,0.0,0.0
Delhi,13032020,7.0,0.0,1.0
Haryana,13032020,14.0,0.0,0.0
Jammu and Kashmir,13032020,2.0,0.0,0.0
Karnataka,13032020,6.0,0.0,1.0
Kerala,13032020,22.0,6.0,0.0
Ladakh,13032020,3.0,0.0,0.0
Maharashtra,13032020,17.0,0.0,1.0
Punjab,13032020,1.0,0.0,0.0
